1007564_1	-1.395	0.380	1	8	5	553	214	74	23	1346	506	55	17	0
1008268_1	-0.493	0.710	1	8	6	421	97	75	22	554	138	55	7	0
1008676_1	0.073	1.052	1	8	7	112	65	73	20	93	58	55	8	-50
1009084_1	-1.089	0.470	1	8	8	272	57	71	22	493	54	55	7	0
1009492_1	-0.065	0.956	1	8	9	324	70	73	22	324	41	55	8	0
1009800_1	-1.011	0.496	1	8	10	2031	423	72	24	4101	945	55	7	0
1010173_1	0.653	1.573	1	8	12	382	95	72	23	256	58	54	7	0
1005956_1	0.466	1.381	1	9	1	100	39	69	22	78	15	55	8	0
1006364_1	-0.786	0.580	1	9	2	132	36	72	23	161	30	55	7	0
1006772_1	-0.925	0.527	1	9	3	584	98	73	22	1049	138	55	7	0
1007180_1	0.263	1.200	1	9	4	193	56	70	22	161	33	56	7	0
1007884_1	-1.232	0.426	1	9	5	240	49	73	23	457	65	55	7	0
1008292_1	-0.206	0.867	1	9	6	485	79	72	23	544	67	56	7	0
1008700_1	-0.765	0.589	1	9	7	514	122	74	23	822	81	56	15	0
1009108_1	0.627	1.545	1	9	8	4112	1849	72	22	2735	1185	55	7	0
1009416_1	0.236	1.177	1	9	9	335	88	73	23	282	40	54	7	0
1009824_1	-0.254	0.838	1	9	10	82	26	73	22	64	11	53	8	0
1010163_2	0.266	1.203	1	9	12	127	41	73	22	99	16	53	7	0
1005980_1	0.526	1.440	1	10	1	124	37	72	23	92	18	55	7	0
1006388_1	-0.781	0.582	1	10	2	764	136	74	24	1271	157	56	8	0
1006796_1	-0.129	0.914	1	10	3	603	89	72	23	650	85	55	7	0
1007500_1	-0.182	0.881	1	10	4	856	118	70	23	969	101	55	7	0
1007908_1	-0.535	0.690	1	10	5	297	73	70	21	392	48	55	7	0
1008316_1	-0.711	0.611	1	10	6	3312	1114	74	23	5488	1609	55	8	0
1008724_1	-0.873	0.546	1	10	7	1124	224	72	26	2029	357	55	37	0
1009032_1	0.258	1.195	1	10	8	220	60	73	23	182	30	56	8	0
1009440_1	-0.191	0.876	1	10	9	3169	325	73	24	3676	283	55	8	0
1009848_1	-1.550	0.342	1	10	10	73	24	70	22	63	11	54	7	0
1010155_1	1.080	2.113	1	10	12	139	98	73	24	86	37	54	7	0
1006004_1	0.900	1.865	1	11	1	143	105	72	21	94	22	55	7	0
1006412_1	-0.868	0.548	1	11	2	1174	384	72	22	2116	495	55	9	0
1007116_1	0.366	1.288	1	11	3	201	54	74	22	155	26	54	7	0
1007524_1	-0.912	0.531	1	11	4	312	57	74	22	515	51	56	7	0
1007932_1	-0.614	0.653	1	11	5	633	104	75	22	930	80	55	7	0
1008340_1	-1.335	0.396	1	11	6	499	88	73	21	1156	109	55	7	0
1008648_1	0.602	1.518	1	11	7	112	38	72	22	83	25	56	8	0
1009056_1	-1.356	0.391	1	11	8	927	131	75	22	2289	206	55	7	0
1009464_1	-0.811	0.570	1	11	9	501	121	71	23	827	126	54	7	0
1009872_1	0.505	1.419	1	11	10	597	186	72	24	434	110	55	7	0
1322222_1	-0.628	0.647	1	11	11	86	26	74	22	74	13	55	8	0
1008155_1	0.620	1.537	1	11	12	88	28	73	21	65	12	55	7	0
1006028_1	0.696	1.620	1	12	1	121	34	72	20	86	16	55	7	0
1006732_1	-0.689	0.620	1	12	2	248	67	73	22	345	70	56	8	0
1007140_1	1.035	2.048	1	12	3	2343	915	78	27	1187	391	54	8	0
1007548_1	-0.648	0.638	1	12	4	350	87	76	23	495	54	55	7	0
1007956_1	1.079	2.113	1	12	5	506	90	75	21	264	44	55	7	0
1008264_1	0.308	1.238	1	12	6	163	41	76	23	128	19	56	7	0
1008672_1	0.258	1.196	1	12	7	1062	169	76	22	900	149	55	7	0
1009080_1	0.238	1.180	1	12	8	7993	2210	75	23	6933	1511	55	7	0
1009488_1	-0.274	0.827	1	12	9	209	65	75	20	221	51	55	8	0
1009796_1	0.273	1.209	1	12	10	1081	505	76	24	906	383	54	7	0
1010169_1	0.860	1.815	1	12	12	136	36	74	23	89	13	54	8	0
1006348_1	-0.417	0.749	1	13	1	137	43	69	23	147	26	54	7	0
1006756_1	-0.490	0.712	1	13	2	479	118	74	22	638	100	55	8	0
1007164_1	0.275	1.210	1	13	3	493	105	75	21	409	54	55	8	0
1007572_1	-0.172	0.887	1	13	4	451	79	76	25	487	42	54	8	0
1007880_1	0.314	1.243	1	13	5	1635	824	71	23	1344	679	55	8	0
1008288_1	0.346	1.271	1	13	6	2370	996	73	21	1906	794	54	8	0
1008696_1	0.398	1.317	1	13	7	80	25	71	22	62	9	55	7	0
1009104_1	-0.064	0.956	1	13	8	9339	4574	73	22	9982	4881	54	8	0
1009412_1	-0.153	0.899	1	13	9	703	120	72	21	773	93	54	7	0
1009820_1	-0.091	0.939	1	13	10	1681	325	71	22	1813	252	56	7	0
1010159_2	0.357	1.281	1	13	12	103	34	73	23	78	13	54	8	0
1006060_1	-0.377	0.770	2	1	1	912	364	68	20	1177	348	54	7	0
1006468_1	0.649	1.568	2	1	2	147	47	72	22	104	24	55	8	0
1006876_1	0.561	1.476	2	1	3	111	32	75	27	80	13	55	11	0
1007284_1	0.455	1.371	2	1	4	1429	520	75	23	1066	359	54	7	0
1007592_1	1.151	2.220	2	1	5	84	29	71	23	60	13	54	8	-50
1008000_1	-0.964	0.513	2	1	6	3462	345	73	23	6827	986	54	8	0
1008408_1	-1.515	0.350	2	1	7	326	75	71	22	803	89	56	8	0
1008816_1	0.179	1.132	2	1	8	1145	314	73	23	1023	235	53	8	0
1009124_1	-0.521	0.697	2	1	9	732	140	75	23	1020	205	54	8	0
1009532_1	-0.530	0.693	2	1	10	1894	361	76	20	2743	403	54	8	0
1009940_1	0.051	1.036	2	1	11	612	112	73	23	587	69	54	8	0
1006084_1	0.431	1.349	2	2	1	273	173	69	21	209	238	54	7	0
1006492_1	-0.210	0.864	2	2	2	8749	3652	73	22	10338	4429	54	7	0
1006900_1	1.004	2.006	2	2	3	165	61	73	22	101	21	54	8	0
1007208_1	-0.111	0.926	2	2	4	2932	890	70	23	3222	1079	54	8	0
1007616_1	1.667	3.176	2	2	5	908	263	71	23	325	67	55	7	0
1008024_1	-0.409	0.753	2	2	6	1504	234	71	21	2002	173	53	8	0
1008432_1	-0.535	0.690	2	2	7	4930	1003	72	22	7265	1356	54	8	0
1008740_1	-0.600	0.660	2	2	8	287	97	70	22	391	110	54	7	0
1009148_1	-0.361	0.779	2	2	9	1267	216	73	23	1625	177	54	7	0
1009556_1	-0.704	0.614	2	2	10	236	77	73	21	326	72	54	8	0
1009964_1	-0.521	0.697	2	2	11	2045	642	74	23	2953	823	54	8	0
1010163_3	-2.287	0.205	2	2	12	72	25	73	22	59	11	54	8	-50
1006108_1	0.047	1.033	2	3	1	315	76	72	22	295	56	54	7	0
1006516_1	0.805	1.748	2	3	2	10080	4706	72	22	5922	2753	54	7	0
1006824_1	0.184	1.136	2	3	3	1326	566	72	24	1184	471	53	7	0
1007232_1	0.252	1.191	2	3	4	459	129	72	23	387	110	54	8	0
1007640_1	1.173	2.254	2	3	5	85	33	74	23	59	11	54	8	-50
1008048_1	-0.874	0.545	2	3	6	211	63	71	24	316	62	53	8	0
1008356_1	-0.647	0.639	2	3	7	1009	316	71	23	1560	573	55	8	0
1008764_1	0.000	1.000	2	3	8	1797	304	72	23	1821	286	54	8	0
1009172_1	-0.006	0.996	2	3	9	1140	243	74	21	1150	200	53	8	0
1009580_1	-0.516	0.699	2	3	10	698	182	73	22	970	290	54	8	0
1010153_2	-0.014	0.991	2	3	12	102	40	73	25	84	18	54	8	0
1006132_1	-0.253	0.839	2	4	1	807	201	73	24	950	154	54	8	0
1006440_1	0.682	1.604	2	4	2	304	82	77	22	199	34	54	8	0
1006848_1	0.843	1.793	2	4	3	129	41	73	23	86	16	54	7	0
1007256_1	-0.126	0.916	2	4	4	944	146	75	22	1025	107	53	8	0
1007664_1	1.135	2.196	2	4	5	88	33	73	22	61	14	54	8	-50
1007972_1	-0.756	0.592	2	4	6	273	75	73	22	400	96	54	8	0
1008380_1	-1.190	0.438	2	4	7	2918	834	70	24	6715	973	55	8	0
1008788_1	0.035	1.025	2	4	8	108	35	75	23	87	19	54	8	0
1009196_1	1.436	2.706	2	4	9	3084	1028	74	22	1195	428	55	7	0
1009900_1	0.439	1.355	2	4	10	156	54	74	22	116	27	54	8	0
1006206_2	-0.694	0.618	2	4	12	5511	4158	74	22	9064	6711	54	7	0
1006056_1	-0.587	0.666	2	5	1	1278	331	75	24	1907	318	55	8	0
1006464_1	1.140	2.203	2	5	2	158	193	72	23	94	43	54	7	0
1006872_1	0.895	1.860	2	5	3	123	44	74	23	81	19	54	8	0
1007280_1	-0.652	0.637	2	5	4	562	110	75	22	839	93	55	8	0
1007588_1	1.076	2.108	2	5	5	147	355	75	23	89	191	54	7	-50
1007996_1	-0.231	0.852	2	5	6	1411	321	76	23	1660	337	54	7	0
1008404_1	-0.390	0.763	2	5	7	146	56	76	24	149	56	55	8	0
1008812_1	-0.281	0.823	2	5	8	732	149	74	23	874	136	55	7	0
1009516_1	1.099	2.143	2	5	9	373	107	74	21	197	54	54	8	0
1009924_1	0.204	1.152	2	5	10	273	58	74	21	231	31	54	7	0
1010167_2		0.925	2	5	12	278	86	73	40	282	48	55	26	-100
1006080_1	-0.006	0.996	2	6	1	316	69	76	22	300	45	53	7	0
1006488_1	0.398	1.317	2	6	2	83	28	74	23	61	13	54	7	-50
1006896_1	0.477	1.392	2	6	3	218	65	74	21	161	41	55	7	0
1007204_1	0.114	1.083	2	6	4	315	81	72	23	285	49	55	8	0
1007612_1	0.207	1.155	2	6	5	457	84	75	22	393	60	54	8	0
1008020_1	-0.618	0.652	2	6	6	2277	376	70	23	3526	499	55	7	0
1008428_1	-1.035	0.488	2	6	7	666	102	75	21	1296	133	55	8	0
1009132_1	-0.431	0.741	2	6	8	981	141	75	24	1307	129	55	7	0
1009540_1	-0.806	0.572	2	6	9	701	347	73	23	1179	555	54	8	0
1009948_1	0.280	1.214	2	6	10	218	90	77	24	173	47	54	8	0
