1_1_11	null	null	null	3750	30240	110	1464	1730	1054	102	104	20	100	100	0	846	1221	918	149	151	25	100	100	0	1.954	1.519	1.708	2.181	1.473	1.048	0.615	80	522	2059	2700	0.966	1362	697	1628	1072	0
1_1_12	null	null	null	3920	30240	100	1245	1524	913	99	101	20	100	100	0	831	1220	972	151	152	22	100	100	0	1.685	1.333	1.464	2.483	2.816	0.793	0.476	80	462	1826	2494	0.753	1146	680	1425	1069	0
1_1_13	null	null	null	4110	30230	100	98	98	16	97	100	18	13	1	0	143	145	24	149	150	21	13	2	0	-0.167	-0.250	0.857	1.438	2.177	0.046	0.003	80	476	-5	-3	Error	1	-6	1	-4	-50
1_1_14	null	null	null	4290	30220	100	97	99	19	97	99	22	12	2	0	147	147	24	147	147	22	16	3	0	0.000	100000.000	0.567	1.935	4.818	0.018	0.000	80	471	0	2	Error	0	0	2	0	-50
1_1_15	null	null	null	4470	30220	100	98	100	16	98	100	21	13	1	0	138	140	20	144	144	21	12	2	0	0.000	-0.500	0.765	1.595	3.749	-0.006	0.000	80	476	-6	-2	Error	0	-6	2	-4	-50
1_1_16	null	null	null	4650	30220	100	96	96	20	98	100	19	12	2	0	148	147	21	146	148	23	13	1	0	-1.000	-2.000	0.590	1.831	3.884	-0.071	0.008	80	466	0	-1	Error	-2	2	-2	1	-50
1_1_17	null	null	null	4830	30220	100	93	94	17	98	101	24	6	0	0	147	146	16	150	152	23	5	0	0	1.667	1.000	1.000	1.661	1.571	0.049	0.002	80	466	-8	-8	0.737	-5	-3	-4	-4	-50
1_1_18	null	null	null	5010	30220	100	99	105	31	107	119	50	6	1	0	148	148	20	150	152	25	8	1	0	4.000	1.000	1.727	3.188	5.636	0.055	0.001	80	456	-10	-4	2.000	-8	-2	-2	-2	-50
1_1_19	null	null	null	5190	30210	100	95	96	15	103	111	44	0	0	0	147	147	20	147	149	25	10	0	0	100000.000	100000.000	0.842	1.877	2.596	0.341	0.024	80	466	-8	-7	16.610	-8	0	-7	0	-50
1_1_20	null	null	null	5370	30210	100	96	99	19	102	107	31	5	0	0	146	147	18	146	147	23	10	1	0	100000.000	-3.000	1.457	2.079	2.169	0.003	0.000	80	466	-6	-2	16.610	-6	0	-3	1	-50
1_1_21	null	null	null	5550	30210	100	129	169	105	112	126	48	32	17	0	146	149	23	152	152	23	11	1	0	-2.833	-19.000	1.063	3.968	9.646	0.555	0.029	80	459	11	54	Error	17	-6	57	-3	-50
1_1_22	null	null	null	5690	30260	60	171	178	63	107	121	45	62	37	0	160	160	22	153	152	23	15	6	0	9.143	10.143	2.885	6.407	7.386	0.052	0.000	32	157	71	78	3.193	64	7	71	7	0
1_2_1	null	null	null	1950	30430	100	104	106	17	103	105	19	16	2	0	149	154	22	153	154	22	17	5	0	-0.250	3.000	0.769	2.476	4.955	-0.082	0.005	80	456	-3	4	Error	1	-4	3	1	-50
1_2_2	null	null	null	2130	30430	100	102	102	18	103	104	17	15	5	0	151	148	21	150	151	22	13	0	0	-1.000	0.500	0.743	2.195	4.746	0.047	0.003	80	446	0	-3	Error	-1	1	-1	-2	-50
1_2_3	0.0830137247	0.066762533	10.161376	2310	30430	90	1279	1309	563	107	109	19	100	100	0	1276	1361	475	157	158	22	100	100	0	1.047	0.998	1.002	1.077	0.540	0.943	0.766	52	358	2291	2406	0.067	1172	1119	1202	1204	0
1_2_4	0.0594845139	0.043439261	10.182852	2470	30430	90	1292	1263	375	112	119	44	100	100	0	1304	1348	421	159	163	28	100	100	0	1.031	0.968	0.937	1.063	0.553	0.866	0.767	52	365	2325	2340	0.043	1180	1145	1151	1189	0
1_2_5	-0.0047152307	-0.021010493	9.686462	2670	30430	90	924	960	481	106	106	19	98	96	0	984	1053	529	154	153	22	100	100	0	0.986	0.950	0.934	1.242	1.173	0.842	0.792	52	408	1648	1753	-0.021	818	830	854	899	0
1_2_6	-0.1318962259	-0.147845468	10.192864	2850	30430	80	1217	1229	484	105	106	19	100	100	0	1385	1313	563	153	154	24	98	94	0	0.903	0.969	0.965	4.062	13.253	0.779	0.680	52	334	2344	2284	-0.148	1112	1232	1124	1160	0
1_2_7	-0.1406499367	-0.149944640	10.666495	3030	30430	110	1649	1622	410	106	108	21	100	100	0	1869	1684	624	157	158	23	100	97	0	0.901	0.993	0.983	2.071	4.135	0.866	0.863	80	507	3255	3043	-0.150	1543	1712	1516	1527	0
1_2_8	0.1237044047	0.109624491	10.347134	3220	30420	90	1461	1342	454	108	110	25	100	100	0	1414	1366	435	160	160	21	100	100	0	1.079	1.023	1.031	1.185	0.728	0.927	0.787	52	359	2607	2440	0.110	1353	1254	1234	1206	0
