1005919_1	-0.3	7.3663222142	7.9068905956	-0.272938037
1005920_1	0.428	6.672425342	8.0552824355	0.4928978966
1005921_1	0.14	7.0552824355	8.0389189893	0.1764855383
1005922_1	0.205	9.0606959317	9.9143851322	0.1520113457
1005923_1	-0.55	5.8073549221	7.4262647547	-0.35379987
1005924_1	0.557	8.3083390301	9.5410966153	0.5143922122
1005925_1	0.379	7.7347096202	8.8328900142	0.356693513
1005926_1	-0.01	6.9188632373	7.9068905956	0.0497157596
1005927_1	0.164	8.2900188469	9.1446582428	0.1265737297
1005928_1	-0.25	7.5924570373	8.2240016742	-0.250989064
1005929_1	-0.42	8.8887432489	9.1369911121	-0.46291367
1005930_1	0.269	9.3706874068	10.271463028	0.2133944885
1005931_1	-0.11	7.0112272554	7.7747870596	-0.05084945
1005932_1	0.011	7.3398500029	7.6582114828	0.0536826315
1005933_1	0.404	8.5313814605	9.5717526435	0.3586470611
1005934_1	-0.17	7.9943534369	8.5999128422	-0.189047678
1005935_1	-0.4	11.73470962	11.916999049	-0.470702123
1005936_1	0.307	9.2550285698	10.199672345	0.2525046628
1005937_1	0.033	8.0334230015	8.7747870596	0.0047445494
1005938_1	0.284	10.35645197	11.240195054	0.2199056528
1005939_1	0.153	11.109177703	11.844313461	0.0814544919
1005940_1		6.5235619561	7.7142455177	
1005941_1	-0.2	10.005624549	10.427312844	-0.25520953
1005942_1	0.161	9.0927571409	9.9068905956	0.107359017
1005943_1	0.428	7.4346282276	8.2288186905	0.4342544963
1005944_1	1.784	8.1189410727	10.532355925	1.7327993074
1005945_1		5.8826430494	7.4178525149	
1005946_1	0.363	6.8703647196	8.1344263202	0.4056031135
1005947_1		6.3219280949	7.5698556083	
1005948_1	0.465	6.3750394313	7.8454900509	0.5689971168
1005949_1	0.21	10.565102078	11.37340896	0.1434832046
1005950_1	-0.01	10.453270634	11.050528906	-0.075262227
1005951_1		5.8073549221	7.1996723448	
1005952_1	0.015	7.4918530963	8.3398500029	0.0124290882
1005953_1	0.036	7.4838157773	8.3174126138	0.0357781911
1005954_1	0.091	7.4594316186	8.3531468255	0.0903577441
1005955_1	0.087	6.8454900509	7.8579809951	0.153160119
1005956_1	-0.13	9.0821490414	9.603626345	-0.181694655
1005957_1	0.513	6.1497471195	7.6794800995	0.6536752508
1005958_1	0.142	6.7944158664	7.8579809951	0.2119584201
1005959_1	0.27	7.1699250014	8.2526654325	0.2895793172
1005960_1	0.256	6.9886846868	8.1085244568	0.2923029258
1005961_1	0.331	5.9772799235	7.4262647547	0.5110216594
1005962_1	0.095	5.5235619561	6.9886846868	0.356693513
1005963_1	0.027	7.5622424242	8.3837042925	0.0212731818
1005964_1	-0.54	9.6865005272	9.7927902943	-0.595039786
1005965_1	0.114	6.3923174228	7.5999128422	0.2390419244
1005966_1	0.335	8.9772799235	9.9657842847	0.2816358462
1005967_1	0.072	6.5545888517	7.6865005272	0.1750867066
1005968_1	-0.21	8.9277779621	9.4072677642	-0.257506209
1005969_1	-0.71	9.4817994317	9.4450148459	-0.763337191
1005970_1	-0.48	8.9425145053	9.1674181458	-0.524893979
1005971_1	-0.12	7.7681843248	8.4512111118	-0.138071179
1005972_1	0.888	7.3219280949	8.9571020416	0.8735332928
1005973_1	-0.76	6.0443941194	7.5156998383	-0.590454605
1005974_1	-0.64	7.6438561898	8.2573878427	-0.648740373
1005975_1	-0.09	7.3575520046	8.1548181091	-0.079145305
1005976_1	-0.2	8.933690655	9.6091787381	-0.248916139
1005977_1	0.388	5.2479275134	7.0334230015	0.6708021035
1005978_1	0.799	8.3037807482	9.7548875022	0.7544530209
