175	0.219	1.6545	CHIP1768	3068	1854	-	9	3
176	-0.211	0.6153	CHIP1705	1018	1654	-	9	4
177	0.211	1.6237	CHIP1753	1210	745	-	9	5
178	0.425	2.6585	CHIP1785	325	122	-	9	6
179	-0.111	0.7748	CHIP1722	883	1140	-	9	7
180	-0.374	0.4228	CHIP1754	849	2008	-	9	8
181	0.118	1.3124	CHIP1801	2812	2143	-	9	9
182	0.034	1.0826	CHIP1833	774	715	-	9	10
183	0.189	1.5466	CHIP1865	566	366	-	9	11
184	0.181	1.5181	CHIP1802	824	543	-	9	12
185	0.223	1.6714	CHIP1834	688	412	-	9	13
186	0.136	1.3676	CHIP1866	758	554	-	9	14
187	0.014	1.0329	CHIP1977	1346	1303	-	9	15
188	0.163	1.4541	CHIP1922	348	239	-	9	16
189	0.136	1.3687	CHIP1954	1277	933	-	9	17
190	0.101	1.2621	CHIP1899	205	162	-	9	18
191	0.141	1.3826	CHIP1931	843	610	-	10	0
192	0.042	1.1023	CHIP1963	508	461	-	10	1
193	-0.275	0.5303	CHIP2050	562	1059	-	10	2
194	0.169	1.4753	CHIP2082	274	186	-	10	3
195	0.381	2.4036	CHIP2019	699	291	-	10	4
196	-0.113	0.7717	CHIP2051	1838	2382	-	10	5
197	0.092	1.2350	CHIP2084	1335	1081	-	10	6
198	0.015	1.0358	CHIP2140	1189	1148	-	10	7
199	0.061	1.1503	CHIP2171	1333	1158	-	10	8
200	0.040	1.0963	CHIP2204	865	789	-	10	9
201	0.132	1.3563	CHIP2236	1162	857	-	10	10
202	0.144	1.3939	CHIP2189	1364	979	-	10	11
203	0.264	1.8354	CHIP2221	299	163	-	10	12
204	0.230	1.6986	CHIP2253	271	160	-	10	13
205	-0.040	0.9128	CHIP2356	221	242	-	10	14
206	-0.252	0.5596	CHIP2293	170	303	-	10	15
207	-0.011	0.9759	CHIP2333	3027	3101	-	10	16
208	-0.144	0.7177	CHIP2365	112	156	-	10	17
209	-0.084	0.8251	CHIP2310	1280	1551	-	10	18
210	-0.008	0.9808	CHIP2350	1031	1051	-	11	0
211	0.090	1.2296	CHIP2474	1330	1082	-	11	1
212	-0.057	0.8774	CHIP2514	2588	2950	-	11	2
213	0.472	2.9648	CHIP2554	1926	650	-	11	3
214	0.114	1.2993	CHIP2499	2165	1667	-	11	4
215	0.198	1.5778	CHIP2531	988	626	-	11	5
216	-0.224	0.5965	CHIP2484	1690	2833	-	11	6
217	0.133	1.3593	CHIP2451	829	610	-	11	7
218	0.047	1.1134	CHIP2396	4471	4015	-	11	8
219	0.150	1.4114	CHIP2436	1964	1392	-	11	9
220	0.211	1.6256	CHIP2373	1007	619	-	11	10
221	0.149	1.4083	CHIP2405	919	652	-	11	11
222	0.166	1.4651	CHIP2445	1977	1349	-	11	12
223	0.049	1.1196	CHIP2630	3481	3110	-	11	13
224	-0.009	0.9785	CHIP2575	869	888	-	11	14
225	0.109	1.2839	CHIP2607	1894	1475	-	11	15
226	-0.350	0.4462	CHIP2647	679	1521	-	11	16
227	-0.111	0.7745	CHIP2680	5341	6896	-	11	17
228	0.145	1.3950	CHIP2720	753	540	-	11	18
229	0.117	1.3088	CHIP2679	666	509	-	12	0
230	-0.003	0.9932	CHIP2727	1931	1944	-	12	1
231	0.075	1.1876	CHIP3056	680	573	-	12	2
232	0.062	1.1527	CHIP3088	5256	4560	-	12	3
233	0.220	1.6578	CHIP3057	1242	749	-	12	4
234	0.124	1.3294	CHIP3089	991	745	-	12	5
235	0.077	1.1933	CHIP2905	2525	2116	-	12	6
236	0.096	1.2486	CHIP2850	2609	2090	-	12	7
237	0.210	1.6222	CHIP2906	1479	912	-	12	8
238	0.005	1.0113	CHIP2859	846	837	-	12	9
239	-0.294	0.5086	CHIP2891	1209	2377	-	12	10
240	0.009	1.0214	CHIP2923	518	507	-	12	11
241	0.069	1.1715	CHIP2819	803	686	A	12	12
242	0.232	1.7051	CHIP2772	2545	1493	-	12	13
243	-1.282	0.0522	CHIP2812	221	4243	-	12	14
244	-1.616	0.0242	CHIP2844	369	15241	-	12	15
245	-0.129	0.7429	CHIP2781	1243	1673	-	12	16
246	0.011	1.0265	CHIP2821	1797	1751	-	12	17
247	0.289	1.9439	CHIP3228	467	240	-	12	18
248	0.036	1.0866	CHIP3165	2800	2577	-	13	0
249	0.147	1.4023	CHIP3197	590	421	-	13	1
250	0.087	1.2224	CHIP3150	664	543	-	13	2
251	-0.055	0.8803	CHIP3190	258	293	-	13	3
252	0.183	1.5227	CHIP3143	943	619	-	13	4
253	-0.053	0.8847	CHIP3447	161	182	-	13	5
254	-0.030	0.9343	CHIP3495	836	895	-	13	6
255	0.004	1.0083	CHIP3344	2430	2410	-	13	7
256	-0.024	0.9460	CHIP3392	932	986	-	13	8
257	0.065	1.1605	CHIP3345	632	545	-	13	9
258	0.134	1.3604	CHIP3393	761	560	-	13	10
259	0.052	1.1280	CHIP3320	284	252	-	13	11
260	0.179	1.5098	CHIP3265	723	479	A	13	12
261	0.087	1.2213	CHIP3313	671	549	-	13	13
262	0.131	1.3505	CHIP3250	3058	2265	-	13	14
263	0.032	1.0774	CHIP3282	1336	1240	-	13	15
264	0.114	1.3014	CHIP3314	3413	2622	-	13	16
265	0.304	2.0127	CHIP3033	1103	548	-	13	17
266	-0.148	0.7115	CHIP2978	784	1102	-	13	18
267	0.185	1.5295	CHIP3018	1479	967	-	14	0
268	-0.207	0.6212	CHIP2979	177	285	-	14	1
269	0.024	1.0573	CHIP3019	489	463	-	14	2
270	0.052	1.1277	CHIP2964	676	600	-	14	3
271	-0.359	0.4371	CHIP3548	290	663	-	14	4
272	-0.153	0.7027	CHIP3525	157	223	-	14	5
273	0.269	1.8587	CHIP3605	3486	1876	-	14	6
274	0.384	2.4186	CHIP3551	118	49	-	14	7
275	0.000	1.0000	CHIP4042	-6	17	XY	14	8
