38	6090	21290	326	40	86	10	319	38	100	100	0	281	27	39150	335	58	88	16	100	99	0	334	57	277	17.294	40293	120	1.014	1.038	1.014	1.05	1.692	1.008	0.827	120	786	558	566	0.02	288	278	0.004709912	0.004965384	0.948549328	-0.022940079	0
39	1860	21530	950	39	252	11	946	37	100	100	0	909	78.091	114016	822	62	238	16	100	100	0	836	60	775	47.471	98751	120	1.172	1.198	1.197	1.212	1.616	1.181	0.911	120	763	1684	1675	0.229	913	762	0.014931075	0.013610154	1.097054075	0.040228035	0
40	2100	21520	58	39	20	11	53	37	60	37	0	15	1.636	7006	124	61	34	16	92	80	0	118	60	58	3.941	14879	120	0.272	0.331	0.344	0.349	3.447	0.217	0.18	120	740	73	85	-1.877	21	64	0.000343431	0.00114311	0.300435708	-0.522248451	0
41	2330	21530	841	40	239	11	799	38	100	100	0	761	68.636	100928	1085	62	248	18	100	100	0	1070	59	1011	54.25	130149	120	0.753	0.783	0.77	0.779	1.495	0.798	0.916	120	738	1772	1828	-0.409	803	1025	0.01313215	0.018307622	0.717305083	-0.144296091	0
42	2570	21530	623	40	143	11	641	38	100	100	0	603	50	74848	618	59	163	16	99	99	0	645	58	587	34.882	74228	120	1.028	1.046	1.045	1.074	1.578	1.022	0.916	120	760	1190	1144	0.039	585	559	0.009567009	0.009984352	0.958200266	-0.018543713	0
43	2800	21530	276	40	55	11	269	38	100	100	0	231	20.273	22120	432	60	91	16	100	100	0	435	58	377	23.235	34588	110	0.613	0.638	0.598	0.642	1.538	0.613	0.862	80	650	608	612	-0.705	238	374	0.003892219	0.006680049	0.582663192	-0.234582416	0
44	3030	21520	142	40	68	10	127	38	100	98	0	89	9.6	11353	160	60	67	16	100	97	0	140	58	82	6.235	12782	110	1.086	1.021	1.042	1.001	2.129	0.974	0.656	80	650	171	204	0.12	103	101	0.001684448	0.001803971	0.933744549	-0.02977192	0
45	3270	21520	522	40	185	11	522	38	99	96	0	484	41.364	62744	476	61	159	16	99	99	0	466	59	407	24.5	57250	120	1.19	1.161	1.158	1.102	1.851	1.17	0.893	120	771	891	901	0.251	484	417	0.007915269	0.007448076	1.062726561	0.026421535	0
46	3500	21530	2424	41	652	11	2418	39	100	100	0	2379	204.273	194022	2615	64	1003	16	100	100	0	2483	61	2421	150.389	209300	110	0.982	0.934	0.999	0.98	1.412	0.888	0.948	80	650	4800	4939	-0.025	2385	2554	0.039003958	0.045617236	0.855026784	-0.068020281	0
47	3740	21520	4209	41	1048	13	4559	39	100	100	0	4520	302.231	336698	4468	62	1308	18	100	100	0	4903	60	4843	233.7	357498	110	0.933	0.946	0.934	0.964	1.323	0.94	0.972	80	656	9363	8577	-0.1	4169	4408	0.068179246	0.078731705	0.865969384	-0.062497462	0
48	3980	21520	1670	41	381	13	1626	39	100	100	0	1586	118.154	133695	1580	62	395	18	100	100	0	1476	59	1416	80.55	126451	110	1.12	1.072	1.095	1.085	1.381	1.082	0.947	80	650	3002	3152	0.164	1631	1521	0.026673147	0.027166725	0.981831532	-0.007963024	0
49	4210	21520	695	42	753	11	520	40	100	100	0	480	56	55702	950	63	1086	16	100	100	0	690	62	628	52.278	76016	110	0.764	0.738	0.741	0.767	1.584	0.696	0.916	80	650	1108	1543	-0.388	655	888	0.010711779	0.015860652	0.67536813	-0.170459437	0
50	4450	21520	2156	40	293	12	2173	38	100	100	0	2135	166.25	172558	541	62	104	16	100	100	0	536	59	476	28.222	43270	110	4.477	4.398	4.359	4.458	1.448	4.488	0.9	80	650	2611	2599	2.162	2118	481	0.034637477	0.008591187	4.031745483	0.605493108	0
51	4670	21520	173	41	58	11	172	39	100	100	0	133	11.364	13882	231	61	74	16	100	98	0	242	59	182	10.056	18574	110	0.731	0.781	0.759	0.791	1.873	0.717	0.746	80	644	315	306	-0.452	134	172	0.002191417	0.003072108	0.713326864	-0.14671142	0
52	4920	21520	380	41	60	11	370	39	100	100	0	330	29.091	30439	377	60	69	15	100	100	0	387	57	329	21	30182	110	1.003	1.069	1.082	1.077	1.508	1.08	0.859	80	656	659	660	0.004	341	319	0.005576667	0.005697689	0.978759352	-0.009324075	0
53	5150	21520	572	40	792	11	411	38	100	100	0	373	45.636	45833	504	58	790	16	100	100	0	312	57	254	27.824	40366	100	1.467	1.197	1.401	1.334	1.621	1.039	0.911	80	554	627	980	0.553	534	446	0.008732962	0.007966048	1.09627277	0.039918627	0
54	5390	21520	267	40	112	10	269	38	100	100	0	231	21.4	21350	272	59	114	16	100	100	0	270	57	213	13.294	21801	110	1.085	1.066	1.059	1.09	1.757	1.038	0.82	80	642	444	443	0.118	229	214	0.003745034	0.003822274	0.97979211	-0.008866062	0
55	5620	21520	68	41	22	11	67	39	73	55	0	28	2.364	3604	112	58	27	15	96	82	0	112	56	55	3.563	5839	90	0.515	0.534	0.546	0.487	3.322	0.373	0.177	52	420	83	84	-0.957	29	55	0.000474262	0.00098236	0.482778073	-0.316252463	0
56	5860	21520	731	40	215	11	706	39	100	99	0	667	59.273	87789	947	59	207	16	100	100	0	938	57	881	55.412	113661	120	0.757	0.778	0.781	0.739	1.702	0.796	0.864	120	762	1548	1581	-0.402	692	889	0.011316872	0.015878513	0.712716088	-0.147083438	0
57	6100	21520	1569	41	394	11	1565	39	100	100	0	1526	131	125617	1599	57	502	16	100	100	0	1503	55	1447	96.235	127994	100	1.054	0.991	1.034	0.998	1.449	0.967	0.901	80	555	2973	3074	0.076	1530	1544	0.025021407	0.02757753	0.907311391	-0.042243637	0
58	1870	21760	2332	40	434	11	2377	39	100	100	0	2337	196.455	279977	2137	62	311	17	100	100	0	2191	59	2132	115.842	256478	120	1.096	1.104	1.097	1.09	1.365	1.115	0.966	120	772	4469	4370	0.133	2293	2077	0.037499403	0.037097494	1.010833873	0.004679787	0
59	2110	21760	4813	41	1317	26	4679	38	100	100	0	4640	179.96	577647	5967	62	1129	26	100	100	0	5899	59	5839	223.714	716083	120	0.795	0.808	0.814	0.777	1.433	0.831	0.958	120	726	10479	10682	-0.332	4775	5907	0.078089686	0.105505486	0.740148109	-0.130681366	0
60	2340	21760	1312	41	278	26	1320	38	100	100	0	1282	47.92	157479	1437	62	261	26	100	100	0	1409	60	1348	52.107	172476	120	0.951	0.925	0.923	0.915	1.383	0.932	0.948	120	716	2630	2651	-0.073	1274	1377	0.020834819	0.024594727	0.847125425	-0.072052284	0
61	2570	21750	91	40	48	10	82	39	92	77	0	43	4.8	7266	146	65	55	18	92	83	0	138	64	74	4.3	11671	110	0.584	0.634	0.606	0.567	2.757	0.604	0.544	80	630	117	133	-0.776	51	82	0.000834047	0.00146461	0.569466987	-0.244531448	0
62	2810	21760	162	40	48	11	155	39	100	98	0	116	10.455	12980	158	62	46	16	100	96	0	152	59	93	5.667	12706	100	1.25	1.243	1.241	1.266	2.134	1.187	0.592	80	554	209	221	0.322	123	98	0.002011525	0.001750387	1.149188482	0.060391264	0
63	3040	21760	73	39	27	10	66	37	87	66	0	29	3.2	5867	99	60	35	16	77	52	0	94	59	34	2.471	7958	100	0.852	0.89	0.832	0.93	3.503	0.614	0.304	80	554	63	76	-0.232	36	40	0.000588739	0.000714444	0.824052228	-0.084045262	0
64	3280	21760	1481	40	444	10	1542	38	100	100	0	1504	135.9	177889	1024	61	322	16	100	100	0	1066	59	1006	56.778	122985	120	1.494	1.496	1.503	1.496	1.495	1.498	0.92	120	787	2510	2408	0.579	1443	965	0.023598621	0.017235956	1.36915068	0.136451246	0
65	3510	21760	124	42	168	12	80	40	90	80	0	40	6.417	6442	180	61	233	16	98	84	0	136	59	77	7.056	9426	80	0.521	0.689	0.625	0.685	3.209	0.701	0.753	52	340	117	204	-0.939	83	121	0.00135737	0.002161192	0.628065518	-0.201995049	0
66	3740	21760	1537	40	302	11	1601	38	100	100	0	1563	128.273	184387	1335	60	232	15	100	100	0	1357	59	1298	84.563	160327	120	1.205	1.174	1.188	1.161	1.363	1.182	0.959	120	764	2861	2774	0.269	1498	1276	0.024498084	0.022790757	1.07491313	0.031373368	0
67	3990	21760	142	40	105	10	123	38	98	95	0	84	9.6	17082	167	61	143	15	95	92	0	144	59	84	7.063	20155	120	1	0.959	1.061	1.027	2.443	0.763	0.724	120	757	168	211	0	103	108	0.001684448	0.001928998	0.873224069	-0.058874302	0
68	4210	21760	88	40	33	11	82	39	90	76	0	43	4.091	4556	104	62	33	16	76	57	0	98	61	36	2.647	5441	90	1.183	1.125	1.169	0.999	3.832	0.85	0.231	52	420	79	91	0.242	48	43	0.000784985	0.000768027	1.022080283	0.00948501	0
69	4440	21760	135	39	33	11	135	37	100	100	0	98	8.273	7037	179	61	46	17	100	100	0	165	59	106	6.579	9306	90	0.926	0.824	0.838	0.825	1.9	0.709	0.562	52	420	204	217	-0.111	98	119	0.001602678	0.00212547	0.754034719	-0.122608657	0
70	4680	21760	165	40	48	10	156	38	100	100	0	118	11.8	13252	180	60	43	16	100	98	0	176	57	118	7.529	14450	110	1	1.031	1.101	1.029	1.713	1.057	0.715	80	642	236	250	0	127	123	0.00207694	0.002196915	0.945389639	-0.024389162	0
71	4920	21760	91	41	137	11	59	40	65	40	0	19	4.273	4757	115	61	149	16	59	36	0	85	59	26	3.167	5960	90	0.723	0.915	0.723	0.623	3.701	0.887	0.808	52	420	45	105	-0.467	50	55	0.000817693	0.00098236	0.832375988	-0.079680456	0
72	5140	21750	46	40	16	11	43	39	27	16	0	4	0.545	7362	68	60	19	16	32	14	0	66	58	8	0.529	10673	150	0.5	0.716	0.6	0.73	3.667	0.196	0.019	156	1048	12	17	-1	7	10	0.000114477	0.000178611	0.640929511	-0.193189731	-50
73	5380	21750	51	39	19	10	47	38	46	30	0	9	1.2	8028	79	59	26	16	57	31	0	77	57	19	1.235	12327	150	0.482	0.636	0.727	0.7	3.497	0.31	0.083	156	1036	28	34	-1.052	13	21	0.0002126	0.000375083	0.566808411	-0.246563714	-50
74	5620	21760	189	40	42	11	190	38	100	100	0	152	12.818	15211	182	59	41	15	100	100	0	177	57	119	8.188	14659	110	1.276	1.21	1.262	1.23	1.701	1.224	0.698	80	636	271	276	0.352	151	125	0.002469433	0.002232637	1.106061213	0.043779163	0
75	5850	21750	46	40	16	14	43	38	25	7	0	5	0.429	7245	70	59	21	16	39	16	0	68	58	10	0.706	11052	150	0.511	0.692	0.614	0.666	3.292	0.403	0.019	156	985	15	20	-0.967	8	12	0.000130831	0.000214333	0.610409058	-0.21437903	-50
76	6080	21750	43	41	11	14	43	39	17	2	0	4	0.143	6842	63	58	17	16	25	10	0	60	56	3	0.294	9865	150	1.125	0.643	0.563	0.613	3.982	0.065	0.003	156	1054	7	10	0.17	4	6	6.54154E-05	0.000107167	0.610409058	-0.21437903	-50
77	1860	21990	79	41	29	13	78	38	82	57	0	40	2.769	4113	114	62	36	16	86	63	0	108	60	48	3.056	5924	90	0.838	0.77	0.755	0.731	2.993	0.731	0.24	52	420	88	94	-0.254	41	53	0.000670508	0.000946638	0.70830485	-0.149779784	0
78	2090	21990	46	41	14	23	44	39	15	1	0	5	0.227	7257	75	63	20	24	26	4	0	71	62	9	0.5	11711	150	0.563	0.563	0.75	0.71	4.881	0.076	0.004	156	978	14	20	-0.83	7	13	0.000114477	0.000232194	0.493022701	-0.307133084	-50
79	2330	21990	53	40	21	24	46	38	26	8	0	8	0.522	8301	74	62	27	24	26	8	0	70	59	11	0.5	11579	150	0.75	0.985	0.902	0.917	4.206	0.33	0.061	156	923	19	29	-0.415	14	15	0.000228954	0.000267916	0.854572681	-0.068250995	-50
80	2560	21990	49	40	15	11	46	38	44	21	0	8	0.818	7829	76	63	22	17	36	16	0	72	61	11	0.737	11868	150	0.75	0.774	0.824	0.84	4.268	0.159	0.02	156	1008	19	26	-0.415	11	15	0.000179892	0.000267916	0.671449964	-0.172986345	-50
