155	149	72	32	8	102	46	33	9	0.746	1.551
156	1397	364	32	8	1252	384	32	8	0.219	1.166
157	171	75	31	7	205	75	31	7	-0.224	0.706
158	97	32	32	8	86	29	31	8	0.328	1.2
159	56	17	31	8	70	24	32	9	-0.459	0.647
160	425	101	32	8	335	136	32	8	0.291	1.422
161	8121	4366	33	8	8000	4379	31	9	-0.033	1.324
162	36	11	31	7	52	17	32	8	-2	0.49
163	24200	10266	33	8	14795	5753	32	8	0.705	1.532
164	277	92	32	8	207	85	32	8	0.532	1.524
165	71	27	31	8	89	37	32	8	-0.62	0.763
166	176	78	31	8	146	52	32	8	0.458	1.118
167	435	176	31	8	638	206	32	9	-0.441	0.586
168	536	194	32	8	415	167	32	8	0.416	1.385
169	149	47	32	8	143	47	32	9	0.164	1.062
170	2116	884	32	8	2469	992	32	9	-0.245	0.834
171	54	19	32	8	86	29	31	9	-1.389	0.425
172	147	36	32	8	105	40	31	8	0.406	1.684
173	52	21	32	8	68	26	33	9	-1.042	0.659
174	72	24	31	8	69	23	32	8	0.193	1.175
175	118	25	31	7	91	29	31	8	0.671	1.524
176	105	26	32	8	86	25	32	9	0.485	1.357
177	37	11	32	8	54	19	31	8	-2.322	0.422
178	70	23	32	8	80	33	31	7	-0.28	0.78
179	125	49	32	8	112	42	32	8	0.216	1.256
180	1036	370	33	8	801	245	32	9	0.502	1.233
181	69	23	32	8	66	22	32	9	0.119	1.194
182	39	11	32	8	54	17	31	9	-2.115	0.485
183	122	36	31	7	130	41	31	9	-0.168	0.937
184	36	9	34	9	49	18	33	10	-2.907	0.305
185	280	81	31	9	296	102	33	11	-0.217	0.977
186	133	38	31	7	115	34	31	7	0.117	1.199
187	2195	870	32	8	2534	1045	32	9	-0.143	0.9
188	2425	1230	33	8	3172	1219	32	8	-0.343	0.674
189	180	70	31	9	169	56	32	10	0.123	1.06
190	432	82	32	8	373	128	32	8	0.184	1.247
191	683	178	32	8	801	176	32	8	-0.156	0.831
192	68	20	32	8	72	26	31	8	-0.217	0.782
193	159	59	31	8	132	44	32	8	0.259	1.199
194	301	125	32	8	258	74	32	8	0.404	0.955
195	60	18	32	8	52	18	31	9	0.295	1.324
196	134	42	32	9	124	26	32	8	0.029	1.033
197	212	80	32	8	195	89	33	8	0.41	1.167
198	275	90	31	7	195	78	32	9	0.529	1.397
199	89	42	31	7	111	54	32	9	-0.473	0.65
200	10448	3400	32	9	9892	3028	32	9	0.097	1.04
201	95	29	32	8	88	26	33	9	0.182	1.194
202	158	61	31	8	125	34	32	9	0.649	1.225
203	71	23	31	7	75	25	31	8	-0.066	0.927
204	12267	5246	33	9	10632	2933	32	9	0.309	0.981
205	2452	972	32	8	2878	1385	32	8	-0.383	0.945
206	37	10	34	10	48	13	35	11	-2.322	0.486
207	361	143	32	8	248	111	32	8	0.573	1.683
208	845	215	32	8	622	191	32	9	0.426	1.439
209	434	199	32	7	445	146	33	9	-0.061	0.859
210	405	170	32	8	412	122	32	9	0.086	0.836
211	142	52	31	8	142	47	32	8	0.091	0.982
212	507	303	33	10	433	254	34	11	0.119	1.149
213	61	19	35	10	56	19	35	11	0.363	1.083
214	766	329	32	8	879	255	31	8	-0.03	0.723
215	49	11	32	8	53	30	32	8	0.16	0.978
216	120	53	32	8	94	32	32	9	0.51	1.29
217	68	26	31	8	81	40	31	8	-0.538	0.856
218	4803	1294	32	8	5780	1414	32	8	-0.222	0.815
